fetched_at,place_name,AREA_NM,AREA_CD,_key_used,WEATHER_STTS__WEATHER_TIME,WEATHER_STTS__TEMP,WEATHER_STTS__MAX_TEMP,WEATHER_STTS__MIN_TEMP,WEATHER_STTS__HUMIDITY,WEATHER_STTS__WIND_DIRCT,WEATHER_STTS__WIND_SPD,WEATHER_STTS__PRECIPITATION,WEATHER_STTS__PRECPT_TYPE,WEATHER_STTS__PCP_MSG,WEATHER_STTS__SUNRISE,WEATHER_STTS__SUNSET,WEATHER_STTS__UV_INDEX_LVL,WEATHER_STTS__UV_INDEX,WEATHER_STTS__UV_MSG,WEATHER_STTS__PM25_INDEX,WEATHER_STTS__PM25,WEATHER_STTS__PM10_INDEX,WEATHER_STTS__PM10,WEATHER_STTS__AIR_IDX,WEATHER_STTS__AIR_IDX_MVL,WEATHER_STTS__AIR_IDX_MAIN,WEATHER_STTS__AIR_MSG,WEATHER_STTS__NEWS_LIST,WEATHER_STTS__FCST24HOURS
2026-07-11T15:23:59.027659+09:00,서울역,서울역,POI033,KEY_4,2026-07-11 15:20,32.4,34.0,25.0,58,SE,2.9,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,18,좋음,27,보통,62.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,선릉역,선릉역,POI034,KEY_1,2026-07-11 15:20,33.3,34.0,25.0,55,ESE,1.7,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,14,좋음,24,보통,61.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,성신여대입구역,성신여대입구역,POI035,KEY_2,2026-07-11 15:20,32.4,34.0,25.0,58,SE,2.9,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,12,좋음,30,보통,70.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,수유역,수유역,POI036,KEY_3,2026-07-11 15:20,31.0,34.0,25.0,61,SE,1.5,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,21,좋음,29,보통,56.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,숭례문,숭례문,POI131,KEY_4,2026-07-11 15:20,32.4,34.0,25.0,58,SE,2.9,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,18,좋음,27,보통,62.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,시의회 앞,시의회 앞,POI130,KEY_1,2026-07-11 15:20,32.4,34.0,25.0,58,SE,2.9,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,18,좋음,27,보통,62.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,신논현역·논현역,신논현역·논현역,POI037,KEY_2,2026-07-11 15:20,33.3,34.0,25.0,55,ESE,1.7,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,14,좋음,24,보통,61.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,신도림역,신도림역,POI038,KEY_3,2026-07-11 15:20,34.1,34.0,26.0,48,SE,1.8,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,15,좋음,23,보통,63.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,신림역,신림역,POI039,KEY_4,2026-07-11 15:20,34.1,34.0,26.0,48,SE,1.8,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,14,좋음,27,보통,65.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,신정네거리역,신정네거리역,POI117,KEY_1,2026-07-11 15:20,33.2,34.0,26.0,48,E,2.4,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,14,좋음,25,보통,62.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,신촌·이대역,신촌·이대역,POI040,KEY_2,2026-07-11 15:20,32.5,34.0,25.0,60,SSE,3.0,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,13,좋음,30,보통,75.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,쌍문역,쌍문역,POI070,KEY_3,2026-07-11 15:20,31.0,34.0,25.0,61,SE,1.5,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,13,좋음,20,보통,67.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,양재역,양재역,POI041,KEY_4,2026-07-11 15:20,33.3,34.0,25.0,55,ESE,1.7,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,12,좋음,27,보통,64.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,역삼역,역삼역,POI042,KEY_1,2026-07-11 15:20,33.3,34.0,25.0,55,ESE,1.7,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,14,좋음,24,보통,61.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,연신내역,연신내역,POI043,KEY_2,2026-07-11 15:20,31.1,34.0,24.0,53,SE,1.6,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,15,보통,31,보통,73.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,오목교역·목동운동장,오목교역·목동운동장,POI044,KEY_3,2026-07-11 15:20,33.2,34.0,26.0,48,E,2.4,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,14,좋음,25,보통,62.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,왕십리역,왕십리역,POI045,KEY_4,2026-07-11 15:20,32.1,34.0,26.0,55,SSE,2.8,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,15,보통,32,보통,62.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,용산역,용산역,POI046,KEY_1,2026-07-11 15:20,32.5,34.0,25.0,60,SSE,3.0,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,21,좋음,23,보통,63.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,이태원역,이태원역,POI047,KEY_2,2026-07-11 15:20,32.5,34.0,26.0,48,ESE,2.5,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,21,좋음,23,보통,63.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,잠실새내역,잠실새내역,POI118,KEY_3,2026-07-11 15:20,32.9,35.0,26.0,51,ESE,1.8,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,18,좋음,27,보통,65.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,잠실역,잠실역,POI119,KEY_4,2026-07-11 15:20,33.3,35.0,26.0,59,SE,1.8,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,18,좋음,27,보통,65.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,장지역,장지역,POI048,KEY_1,2026-07-11 15:20,32.9,35.0,26.0,51,ESE,1.8,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,18,좋음,27,보통,65.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,장한평역,장한평역,POI049,KEY_2,2026-07-11 15:20,32.1,34.0,26.0,55,SSE,2.8,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,20,좋음,28,보통,63.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,천호역,천호역,POI050,KEY_3,2026-07-11 15:20,33.3,35.0,26.0,59,SE,1.8,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,15,좋음,29,보통,73.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,총신대입구(이수)역,총신대입구(이수)역,POI051,KEY_4,2026-07-11 15:20,33.4,34.0,25.0,60,SE,2.4,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,16,좋음,26,보통,63.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,충정로역,충정로역,POI052,KEY_1,2026-07-11 15:20,32.5,34.0,25.0,60,SSE,3.0,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,13,좋음,30,보통,75.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,합정역,합정역,POI053,KEY_2,2026-07-11 15:20,32.5,34.0,25.0,60,SSE,3.0,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,16,좋음,24,보통,63.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,혜화역,혜화역,POI054,KEY_3,2026-07-11 15:20,32.4,34.0,25.0,58,SE,2.9,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,20,좋음,24,보통,65.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,홍대입구역(2호선),홍대입구역(2호선),POI055,KEY_4,2026-07-11 15:20,29.7,33.0,25.0,73,SSE,0.7,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,16,좋음,24,보통,63.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T15:23:59.027659+09:00,회기역,회기역,POI056,KEY_1,2026-07-11 15:20,32.1,34.0,26.0,55,SSE,2.8,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,20,좋음,28,보통,63.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,경복궁,경복궁,POI008,KEY_1,2026-07-11 17:50,32.1,34.0,25.0,58,SE,2.6,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,19,좋음,29,보통,72.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,2026-07-11 17:50,32.1,34.0,25.0,58,SE,2.6,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,19,좋음,29,보통,72.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,보신각,보신각,POI010,KEY_3,2026-07-11 17:50,32.1,34.0,25.0,58,SE,2.6,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,19,좋음,29,보통,72.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,2026-07-11 17:50,32.2,35.0,25.0,51,SE,1.5,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,11,좋음,26,보통,73.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,2026-07-11 17:50,32.1,34.0,25.0,58,SE,2.6,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,19,좋음,29,보통,72.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,2026-07-11 17:50,32.7,35.0,25.0,57,ESE,1.0,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,14,좋음,23,보통,64.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,2026-07-11 17:50,32.1,34.0,25.0,58,SE,2.6,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,19,좋음,29,보통,72.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,2026-07-11 17:50,32.1,34.0,25.0,58,SE,2.6,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,13,좋음,25,보통,71.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,2026-07-11 17:50,32.9,35.0,25.0,51,SSE,1.5,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,12,좋음,22,보통,71.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,2026-07-11 17:50,32.4,35.0,25.0,63,SSE,1.4,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,16,좋음,29,보통,69.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,2026-07-11 17:50,32.1,34.0,25.0,58,SE,2.6,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,19,좋음,29,보통,72.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,2026-07-11 17:50,32.5,34.0,25.0,61,SSE,2.4,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,12,좋음,25,보통,68.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,강서한강공원,강서한강공원,POI085,KEY_1,2026-07-11 17:50,33.2,34.0,25.0,53,SE,2.9,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,17,좋음,20,보통,63.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,고척돔,고척돔,POI086,KEY_2,2026-07-11 17:50,32.8,34.0,25.0,54,ESE,2.4,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,9,좋음,13,보통,58.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,광나루한강공원,광나루한강공원,POI087,KEY_3,2026-07-11 17:50,32.4,35.0,25.0,63,SSE,1.4,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,11,좋음,26,보통,73.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,광화문광장,광화문광장,POI088,KEY_4,2026-07-11 17:50,32.1,34.0,25.0,58,SE,2.6,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,19,좋음,29,보통,72.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-07-11T17:56:32.524396+09:00,국립중앙박물관·용산가족공원,국립중앙박물관·용산가족공원,POI089,KEY_1,2026-07-11 17:50,32.9,35.0,25.0,51,SSE,1.5,-,없음,비 또는 눈 소식이 없어요.,05:20,19:55,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,12,좋음,22,보통,71.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
